name,price,description,name
bags,1000,"american tourister",stationary
notpads,50,"shree notepads",stationary
pens,10,"use and throw",stationary
marker,20,"red glass marker",stationary
earphones,1500,"jbl earphones",electronics
headphones,1600,"bose headphones",electronics
heels,700,"black heels",footwears
shoes,1000,"adidas shoes",footwears
"mobile cover",1200,"mi anti shock mobile cover",footwears
tshirt,500,"roadster tshirt","clothing men"
suit,600,"manyavar suit","clothing women"
watch,3000,"fossils watch",accessories
"toy laptop",1200,"kids toy laptop","kids toys"
"toy cycle",1400,"kids 4 wheels cycle","kids toys"
